Host,Core Cavity Depth,Functionalized Depth,Effective Free Diameter,HBA,HBD,Aromatic Rings
P5A,4.727,4.727,5.361,10,10,5
P5A_OCH3,4.031,4.031,5.343,10,0,5
P6A,4.877,4.877,6.956,12,12,6
P6A_OCH3,4.502,2.712,6.993,12,0,6
P6A_OEt,4.724,9.219,6.708,12,0,6
P6A_OCH2NH2,4.703,4.703,6.803,24,24,6
P6A_OCH2COOH,4.668,10.853,6.928,36,12,6
P6A_OCH2Br,4.668,10.853,6.928,12,0,6
ACD,5.142,5.142,6.606,18,30,0
BCD,5.142,5.142,7.87,21,35,0
GCD,5.073,5.073,9.463,24,40,0
Res,2.266,3.802,5.277,4,4,4
CB6,6.266,6.266,6.9,12,0,0
CB7,6.268,5.374,8.219,14,0,0
CB8,6.285,6.285,8.424,16,0,0